symbol,beta,52wk-change,52wk-change-sp500,52wk-high,52wk-low,50day-moving-avg,200day-moving-avg,avg-vol-3month,avg-vol-10day,shares-outstanding,float,insider-pct,institutional-pct,shares-short,short-ratio,short-pct-float,short-pct-shares-outstanding,shares-short,forward-annual-div,forward-div,trailing-div,trailing-annual-div,5yr-avg-div-yield,payout-ratio,div-date,xdiv-date,last-split-factor,last-split-date,fiscal-year-ends,most-recent-qtr,profit-margin,operating-margin,return-on-assets,return-on-equity,revenue,revenue-per-share,quarterly-revenue,gross-profit,ebitda,netincome-avail-to-common,diluted-eps,qtr-earnings-growth,total-cash,total-cash-per-share,total-debt,total-debit-to-equity,current-ratio,book-value,operating-cash-flow,levered-free-cash-flow
dhr,0.85,30.16%,5.66%,187.19,119.60,172.82,158.17,3.09M,2.09M,707.02M,618.39M,11.47%,82.13%,6.74M,2.24,1.07%,0.95%,6.77M,0.72,0.39%,0.69,0.37%,0.57,19.06%,"Jul 30, 2020","Jun 24, 2020",1319:1000,"Jul 04, 2016","Dec 30, 2019","Apr 02, 2020",18.13%,18.12%,3.38%,8.61%,18.03B,25.31,2.90%,9.98B,4.46B,2.61B,4.41,78.30%,4.37B,6.26,26.83B,86.37,1.32,42.26,4.07B,2.91B
ir,1.45,-12.89%,5.66%,38.96,17.01,29.62,30.10,3.86M,3.03M,416.59M,370.25M,0.36%,61.82%,14.21M,3.71,4.11%,3.41%,14.86M,N/A,N/A,2.12,7.61%,N/A,0.00%,"Mar 30, 2020",N/A,1252:1000,"Dec 01, 2013","Dec 30, 2019","Mar 30, 2020",2.86%,11.45%,1.89%,1.43%,2.63B,11.83,29.00%,911.7M,506.2M,75.2M,0.33,N/A,555.7M,1.33,3.64B,41.55,2.11,20.85,342.9M,-209.99M
tel,1.32,-15.77%,5.66%,101.00,48.62,82.34,80.76,2.03M,1.48M,329.85M,327.01M,0.20%,95.80%,4.17M,1.78,1.27%,1.26%,4.75M,1.92,2.43%,1.84,2.33%,2.02,88.89%,"Jun 04, 2020","May 20, 2020",N/A,N/A,"Sep 26, 2019","Mar 26, 2020",5.36%,16.39%,6.92%,7.36%,13.05B,38.96,-6.40%,4.39B,2.84B,705M,2.09,N/A,796M,2.41,4.82B,52.59,1.44,27.38,2.46B,1.37B
bk,1.08,-11.05%,5.66%,51.60,26.40,38.56,39.53,5.72M,4.87M,885.44M,883.91M,0.23%,86.89%,9.29M,1.63,1.05%,1.05%,8.71M,1.24,3.34%,1.21,3.26%,2.00,26.19%,"May 10, 2020","Apr 26, 2020",9434:10000,"Jul 01, 2007","Dec 30, 2019","Mar 30, 2020",27.06%,34.69%,1.10%,10.80%,16.53B,17.92,1.20%,16.49B,N/A,4.29B,4.63,3.60%,210.27B,237.47,73.59B,N/A,N/A,42.47,-640M,N/A
key,1.54,-34.34%,5.66%,20.53,7.45,12.71,14.16,12.98M,9.32M,975.41M,969.68M,0.47%,83.42%,23.02M,1.63,2.69%,2.36%,19.2M,0.74,6.71%,0.73,6.57%,2.88,53.70%,"Jun 14, 2020","May 31, 2020",2:1,"Mar 08, 1998","Dec 30, 2019","Mar 30, 2020",26.14%,33.78%,0.97%,8.68%,5.57B,5.67,-24.30%,5.92B,N/A,1.34B,1.36,-64.10%,3.73B,3.83,21.43B,N/A,N/A,15.90,2.17B,N/A
cci,0.36,28.76%,5.66%,180.00,114.18,168.61,155.59,2.2M,2.17M,416.75M,414.57M,0.43%,93.22%,10.66M,4.48,2.96%,2.56%,9.94M,4.8,2.80%,4.65,2.71%,3.60,262.71%,"Jun 29, 2020","Jun 10, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",14.75%,27.48%,2.60%,7.79%,5.78B,13.88,0.90%,3.78B,3.1B,739M,1.77,-4.10%,310M,0.74,24.56B,242.68,0.47,24.27,2.84B,423.62M
ecl,1.00,0.87%,5.66%,231.36,124.60,206.55,191.30,4.21M,1.54M,284.25M,256.32M,0.51%,87.90%,14.55M,1.49,5.87%,5.12%,3.68M,1.88,0.95%,1.86,0.94%,1.09,35.16%,"Jul 14, 2020","Jun 14, 2020",2:1,"Jun 08, 2003","Dec 30, 2019","Mar 30, 2020",10.32%,15.95%,6.90%,18.29%,14.98B,51.98,2.20%,6.22B,3.37B,1.55B,5.29,-4.40%,1.66B,5.75,8.34B,94.14,1.51,30.50,2.41B,1.76B
amat,1.40,35.24%,5.66%,69.44,36.64,59.20,56.17,8.19M,5.76M,916.48M,912.36M,0.36%,85.35%,22.1M,2.57,2.42%,2.41%,21.92M,0.88,1.39%,0.85,1.34%,1.50,26.75%,"Sep 09, 2020","Aug 18, 2020",2:1,"Apr 16, 2002","Oct 26, 2019","Apr 25, 2020",18.89%,23.81%,11.32%,33.86%,15.43B,16.77,11.80%,6.39B,4.04B,2.92B,3.14,13.40%,5.7B,6.22,7.06B,78.22,2.67,9.85,3.24B,2.36B
v,0.92,6.63%,5.66%,214.17,133.93,194.37,186.06,9.59M,7.64M,1.69B,1.69B,0.20%,98.06%,32.89M,3.72,1.95%,1.54%,32.2M,1.2,0.62%,1.15,0.60%,0.63,19.78%,"Jun 01, 2020","May 12, 2020",4:1,"Mar 18, 2015","Sep 29, 2019","Mar 30, 2020",52.26%,66.98%,14.02%,36.25%,23.89B,11.05,6.60%,22.26B,16.35B,12.03B,5.56,3.60%,12.15B,5.71,18.48B,53.43,1.25,13.64,12.77B,9.7B
rcl,2.51,-54.12%,5.66%,135.32,19.25,55.20,69.09,21.53M,13.99M,209.38M,175.72M,18.45%,75.90%,24.97M,0.97,14.62%,11.93%,25.28M,3.12,6.62%,3.04,6.45%,2.34,357.65%,"Apr 05, 2020","Mar 04, 2020",2:1,"Aug 02, 1998","Dec 30, 2019","Mar 30, 2020",1.75%,14.99%,3.18%,1.89%,10.54B,50.36,-16.70%,5.1B,2.86B,184.73M,0.88,N/A,3.89B,18.58,16.83B,155.65,0.51,48.87,2.84B,-1.45B
