datetime,open,high,low,close,volume
2015-05-06 00:00,28.14,28.54,27.92,27.76,370800.00
2015-05-07 00:00,28.22,28.60,28.09,27.92,573000.00
2015-05-08 00:00,25.50,29.58,25.50,27.97,4175100.00
2015-05-11 00:00,28.20,30.58,28.20,29.81,2285200.00
2015-05-12 00:00,29.83,30.71,29.80,29.77,927600.00
2015-05-13 00:00,30.39,30.70,29.87,29.54,655400.00
2015-05-14 00:00,30.22,30.25,29.92,29.57,417200.00
2015-05-15 00:00,29.97,30.23,29.85,29.57,698200.00
2015-05-18 00:00,29.97,30.22,29.82,29.55,665500.00
2015-05-19 00:00,30.00,30.46,29.99,29.67,357900.00
2015-05-20 00:00,30.18,30.19,29.87,29.51,380600.00
2015-05-21 00:00,30.03,30.37,29.88,29.79,457900.00
2015-05-22 00:00,30.16,31.10,30.16,30.00,516600.00
2015-05-26 00:00,30.49,30.49,29.81,29.79,571000.00
2015-05-27 00:00,30.32,30.91,30.06,30.28,567400.00
2015-05-28 00:00,30.73,31.98,30.66,31.09,905300.00
2015-05-29 00:00,31.56,32.00,31.18,31.32,682900.00
2015-06-01 00:00,31.88,31.88,30.67,30.49,569700.00
2015-06-02 00:00,30.82,31.67,30.52,30.73,387100.00
2015-06-03 00:00,31.22,31.48,31.01,30.85,446200.00
2015-06-04 00:00,31.30,31.53,30.54,30.42,315100.00
2015-06-05 00:00,30.79,31.91,30.38,31.24,1047200.00
2015-06-08 00:00,31.69,32.80,31.55,31.26,862800.00
2015-06-09 00:00,31.69,32.15,30.99,31.01,643700.00
2015-06-10 00:00,31.47,32.56,31.43,31.86,647300.00
2015-06-11 00:00,32.47,32.95,32.22,32.00,714700.00
2015-06-12 00:00,32.44,32.78,32.15,32.21,394300.00
2015-06-15 00:00,32.52,32.70,32.10,32.12,440300.00
2015-06-16 00:00,32.57,32.84,32.33,32.00,381200.00
2015-06-17 00:00,32.68,32.93,32.37,32.17,320100.00
2015-06-18 00:00,32.74,32.90,32.51,32.15,338200.00
2015-06-19 00:00,32.79,33.41,32.47,32.84,965900.00
2015-06-22 00:00,33.60,34.28,33.40,33.23,528300.00
2015-06-23 00:00,33.64,34.00,33.31,33.21,364500.00
2015-06-24 00:00,33.74,33.99,32.70,32.22,396500.00
2015-06-25 00:00,32.97,33.18,32.31,32.11,579000.00
2015-06-26 00:00,32.61,32.61,31.78,31.82,1189300.00
2015-06-29 00:00,31.96,32.97,31.50,31.58,925900.00
2015-06-30 00:00,32.22,32.32,31.46,31.44,1540300.00
2015-07-01 00:00,32.32,32.93,32.13,31.92,842900.00
2015-07-02 00:00,32.28,32.47,31.44,31.15,826700.00
2015-07-06 00:00,31.34,31.62,30.57,30.51,1108300.00
2015-07-07 00:00,31.28,33.07,30.73,32.51,910500.00
2015-07-08 00:00,32.78,33.00,31.64,31.35,528500.00
2015-07-09 00:00,32.22,32.61,31.79,31.66,415400.00
2015-07-10 00:00,32.63,33.46,32.33,32.38,573400.00
2015-07-13 00:00,33.15,33.39,32.71,32.68,287500.00
2015-07-14 00:00,33.45,33.79,33.26,33.16,362300.00
2015-07-15 00:00,33.83,34.60,33.62,33.77,889100.00
2015-07-16 00:00,34.67,35.90,34.42,34.78,836500.00
2015-07-17 00:00,35.72,36.00,34.16,34.10,635700.00
2015-07-20 00:00,34.51,34.54,32.66,32.34,669000.00
2015-07-21 00:00,32.93,33.37,32.73,32.29,342200.00
2015-07-22 00:00,32.32,32.41,31.34,31.71,645200.00
2015-07-23 00:00,32.45,32.70,32.02,31.98,385400.00
2015-07-24 00:00,32.60,32.76,32.00,31.74,516100.00
2015-07-27 00:00,32.19,32.29,31.21,31.43,292300.00
2015-07-28 00:00,32.08,32.69,31.24,32.02,313600.00
2015-07-29 00:00,32.50,32.85,31.42,30.97,894500.00
2015-07-30 00:00,31.62,32.76,31.24,32.00,526900.00
2015-07-31 00:00,32.65,32.94,32.19,31.73,356000.00
2015-08-03 00:00,32.14,32.50,30.78,30.41,644200.00
2015-08-04 00:00,30.94,31.73,30.83,30.44,602500.00
2015-08-05 00:00,31.23,32.64,31.00,31.99,808000.00
2015-08-06 00:00,32.82,33.00,31.49,31.56,1499000.00
2015-08-07 00:00,29.54,33.15,28.50,31.16,3704600.00
2015-08-10 00:00,31.71,33.24,31.13,32.54,910800.00
2015-08-11 00:00,32.96,33.25,31.74,31.99,1204900.00
2015-08-12 00:00,32.18,32.99,31.92,32.30,730200.00
2015-08-13 00:00,32.83,33.12,32.11,31.85,482700.00
2015-08-14 00:00,32.22,32.92,32.22,32.21,243400.00
2015-08-17 00:00,32.51,34.34,32.51,33.45,624500.00
